   874.3: flog total
     3.7: CleoQualityReview::OptionsTest#test_exclude_defaults_to_empty_array test/options_test.rb:75-79
     3.7: CleoQualityReview::OptionsTest#test_parses_repeated_exclude_flags test/options_test.rb:57-61
     3.7: CleoQualityReview::OptionsTest#test_parses_exclude_flag test/options_test.rb:51-55
     3.7: CleoQualityReview::OptionsTest#test_parses_only_as_alias_for_checks test/options_test.rb:45-49
     3.5: CleoQualityReview::Configuration::load lib/cleo_quality_review/configuration.rb:17-19
     2.7: CleoQualityReview::Configuration::Loader#inherit_from lib/cleo_quality_review/configuration.rb:104-106
     2.6: CleoQualityReview::TargetResolverTest#run test/target_resolver_test.rb:9-11
     2.5: CleoQualityReview::Configuration::Loader#merge lib/cleo_quality_review/configuration.rb:122-126
     2.5: CleoQualityReview::Configuration#matches_any? lib/cleo_quality_review/configuration.rb:47-49
     2.5: CleoQualityReview::OptionsTest#test_changed_defaults_to_false test/options_test.rb:69-73
     2.5: CleoQualityReview::OptionsTest#test_parses_changed_flag test/options_test.rb:63-67
     2.5: CleoQualityReview::TargetResolver#initialize lib/cleo_quality_review/target_resolver.rb:11-14
     2.5: CleoQualityReview::TargetResolver#resolve lib/cleo_quality_review/target_resolver.rb:21-28
     2.5: CleoQualityReview::Configuration#matches? lib/cleo_quality_review/configuration.rb:51-55
     2.4: CleoQualityReview::Options::parse lib/cleo_quality_review/options.rb:13-15
     2.4: CleoQualityReview::Checks::ParsersTest#runner test/checks/parsers_test.rb:65-67
     2.4: CleoQualityReview::Checks::Fasterer#strip_ansi lib/cleo_quality_review/checks/fasterer.rb:42-44
     2.2: CleoQualityReview::Checks::Fasterer#command lib/cleo_quality_review/checks/fasterer.rb:13-15
     2.2: CleoQualityReview::Checks::Flog#command lib/cleo_quality_review/checks/flog.rb:13-15
     1.7: CleoQualityReview::RunnerTest#parse test/runner_test.rb:49-58
     1.6: CleoQualityReview::Configuration::Loader#initialize lib/cleo_quality_review/configuration.rb:66-68
     1.2: CleoQualityReview::Checks::ParsersTest#run test/checks/parsers_test.rb:12-14
     1.2: CleoQualityReview::RunnerTest#resolve test/runner_test.rb:33-36
     1.1: CleoQualityReview::Configuration#initialize lib/cleo_quality_review/configuration.rb:21-23
     1.1: CleoQualityReview::Configuration#include_patterns lib/cleo_quality_review/configuration.rb:25-27
     1.1: CleoQualityReview::Configuration#exclude_patterns lib/cleo_quality_review/configuration.rb:29-31
